Date,Open,High,Low,Close,Adj Close,Volume
2017-06-14,126.000000,126.019997,125.099998,125.610001,119.272316,2584300
2017-06-15,124.769997,125.349998,124.629997,125.330002,119.006447,2483500
2017-06-16,125.419998,125.529999,124.739998,125.250000,118.930481,2018000
2017-06-19,125.669998,126.349998,125.669998,126.269997,119.899010,1816100
2017-06-20,126.160004,126.169998,125.400002,125.410004,119.082413,1359500
2017-06-21,125.110001,125.199997,124.510002,124.690002,118.944092,3364600
2017-06-22,124.779999,125.080002,124.589996,124.739998,118.991776,1639300
2017-06-23,124.809998,125.190002,124.580002,125.050003,119.287498,1829300
2017-06-26,125.449997,125.690002,124.949997,125.139999,119.373344,2605600
2017-06-27,125.089996,125.230003,124.099998,124.110001,118.390823,2386300
2017-06-28,124.769997,125.410004,124.589996,125.279999,119.506897,2444400
2017-06-29,125.459999,125.480003,123.480003,124.279999,118.552971,2354500
2017-06-30,124.760002,124.900002,124.300003,124.449997,118.715141,1910000
2017-07-03,124.989998,125.300003,124.750000,124.750000,119.001320,1645700
2017-07-05,124.980003,125.019997,124.389999,124.889999,119.134880,2167500
2017-07-06,124.440002,124.550003,123.559998,123.660004,117.961555,1881800
2017-07-07,123.959999,124.620003,123.900002,124.519997,118.781914,1709700
2017-07-10,124.500000,124.830002,124.360001,124.610001,118.867775,1404700
2017-07-11,124.529999,124.730003,123.830002,124.580002,118.839157,1560200
2017-07-12,125.199997,125.629997,125.099998,125.470001,119.688156,1993100
2017-07-13,125.559998,125.760002,125.309998,125.669998,119.878929,1514100
2017-07-14,125.769997,126.500000,125.650002,126.230003,120.413132,1410900
2017-07-17,126.279999,126.449997,126.120003,126.230003,120.413132,1798400
2017-07-18,126.110001,126.330002,125.779999,126.309998,120.489433,2010000
2017-07-19,126.510002,127.050003,126.510002,127.040001,121.185791,1276400
2017-07-20,127.279999,127.279999,126.800003,127.120003,121.262115,1463800
2017-07-21,126.809998,126.989998,126.639999,126.949997,121.099945,1819500
2017-07-24,126.910004,127.059998,126.690002,126.959999,121.109497,4897700
2017-07-25,127.510002,127.570000,127.199997,127.379997,121.510132,1709400
2017-07-26,127.550003,127.599998,127.169998,127.290001,121.424278,1624400
2017-07-27,127.580002,127.580002,126.309998,127.070000,121.214409,1707800
2017-07-28,126.779999,126.959999,126.540001,126.860001,121.014091,1651800
2017-07-31,127.110001,127.180000,126.620003,126.790001,120.947311,1496600
2017-08-01,127.180000,127.209999,126.800003,127.050003,121.195343,1790600
2017-08-02,127.139999,127.139999,126.370003,126.930000,121.080849,2929400
2017-08-03,126.900002,126.910004,126.519997,126.639999,120.804222,2582500
2017-08-04,127.000000,127.070000,126.699997,126.910004,121.061798,972400
2017-08-07,127.059998,127.180000,126.879997,127.160004,121.300278,1114700
2017-08-08,127.050003,127.720001,126.610001,126.809998,120.966400,1360300
2017-08-09,126.349998,126.690002,126.169998,126.669998,120.832848,1679900
2017-08-10,126.139999,126.209999,124.800003,124.809998,119.058548,2455300
2017-08-11,124.940002,125.330002,124.800003,125.040001,119.277962,2039100
2017-08-14,125.800003,126.430000,125.610001,126.320000,120.498985,1467400
2017-08-15,126.610001,126.629997,126.080002,126.199997,120.384506,1523000
2017-08-16,126.500000,126.800003,126.230003,126.430000,120.603905,1379800
2017-08-17,126.089996,126.290001,124.419998,124.419998,118.686516,3440500
2017-08-18,124.480003,124.940002,123.949997,124.209999,118.486206,2836500
2017-08-21,124.220001,124.480003,123.790001,124.389999,118.657921,1627300
